review,sentiment
"Parking je malo loÅ¡,ali bez obzira na to,oper dolazimo!",negativan
Lokacija,negativan
Zaista ne postoji niÅ¡ta Å¡to bih ocijenio kao negativno.,negativan
Nije bilo Å¡ampona za tijelo i kosu.,negativan
"Neprijatan miris u kupatilu,non stop.
Velicina apatmana,za nijansu je manji nego na Booking.",negativan
Apartman nema veze sa slikama. Cijeli hodnik ima vrlo neugodan miris. Nije dobro oÄiÅ¡Ä‡eno.,negativan
"Trebalo bi dodatnog osvetljenja u sobi, dosta deluje mracno",negativan
Koristenje velikog bazena je u momentu naseg boravka bilo dostupno samo u jutarnjim satima,negativan
Nema primjedbi.,negativan
"Enterijer kao u bolnicu, kupatilo lose, zgrada stara, lift ne radi 
Beskucnik nam je spavao ispred vrata od apartmana- citav sprat i soba nam je smrdjela od njegovih patika, zgrada stara, ja sam rezervisao zbog slika drugih apartmana ali ni slicno tome nije bilo. 
Posteljina ni nista nije opeglano bilo 
Vrata od kupatila su klizna, razmak od zida 2cm, sve se cuje u dnevnoj sobi, nikako",negativan
"Premali krevet za tri osobe, sve vreme klima radi na 30, nema moguÄ‡nost iskljuÄivanja",negativan
"Osoblje apartmana se nije javilo na poziv kada smo trebali da udjemo u apartman, a cekali smo ispred zgrade, tako da smo morali da rezervisemo drugi objekat",negativan
Nema sto za ruÄavanje,negativan
Sve je bilo i viÅ¡e od oÄekivanja,negativan
Sve mi se dopalo,negativan
"Obzirom da se vidi da su apartmani potpuno novi, vjerujem da ih Äeka joÅ¡ ulaganja u njih. Za kratak ostanak, dobro bi nam doÅ¡la mikrovalna i pegla na raspolaganje. MeÄ‘utim, vlasnik je rekao Å¡to imamo, a Å¡to ne pa smo se pripremili.",negativan
"Apartman je bio ma strani ceste kija ke dosta prometna i buÄna..tako da svakako trazite apartman koji gleda na dvoriste.
Fali koÅ¡ za smeÄ‡e u kuhinji..",negativan
"Izolacija je veoma losa, s obzirom da je u prometnoj ulici. Nema masina za ves, pa ukoliko ostajete duze - nema pranja vesa. Privatni parking nema, parkiranje je na ulici. Fali dosta stvari.",negativan
"Ocekivali smo da je stan prostraniji, barem je tako delovao na slikama. Spavaca soba je sredjena ali izuzetno mala, taman da stane krevet",negativan
Problem je naci parking ali...velegrad je toðŸ˜€,negativan
Krevet i jastuci tvrdi,negativan
Buka koja se Äuje do kasno uveÄe iz susednih apartmana.,negativan
Is ok,negativan
Nema nedostataka,negativan
Nista,negativan
Sve nam se svidjelo,negativan
U ponudi nema doruÄka Å¡to je za poslovno putovanje loÅ¡e.,negativan
"Sjajani sadrzaji za jedan hotel, bazen i spa.",negativan
"Parking se trazi po 2 sata, ili da doplatite bezobrazno veliki iznos da dobijete hotelski parking",negativan
-,negativan
"televizor, jako je mali ekran i postavljen je u polozaju teskom za gledanje, nema smart opcije, nema jutjub i ostaloâ€¦totalno je neupotrebljiv, a s obzirom da je noÄ‡enje izuzetno skupo ocekivala sam full opremljenost
takodje dobili smo samo dva velika peskira, nije bilo malih peskira niti peskira za ruke u kupatilu",negativan
"Grejanje bi vec trebalo da je ukljuceno, ako je centralno grejanje onda se obezbedi neki vid grejanja u prelaznom periodu dok se ne ukljuci.. Sve ostalo za pohvalu!",negativan
/,negativan
